"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1277","Yami goutham still not watched #bahubali because... in movie #tamanna looks much whiter without applying fair &amp; lovely.",FALSE,5,NA,2015-07-25 18:59:22,FALSE,NA,"625017516398501888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vikirox",2,FALSE,FALSE,NA,NA
"1278","Between #BajrangiBhaijaan &amp; #Bahubali  , I am stuck . Hats off to both the movies , and to the directors as well . #StillwaitingforRAEES",FALSE,0,NA,2015-07-25 18:58:47,FALSE,NA,"625017366234034180",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SaifHolmes",1,FALSE,FALSE,NA,NA
"1279","#Bahubali couldn't be so great if not for @RanaDaggubati playing the #supervillian #bhallaladeva. Eagerly awaiting part 2!!",FALSE,5,NA,2015-07-25 18:56:37,FALSE,NA,"625016821918253056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ananyaa_mjee",0,FALSE,FALSE,NA,NA
"1280","#BBRulingBoxOffice is good trend it means for both #bahubali n #BajrangiBhaijaan",FALSE,0,NA,2015-07-25 18:55:17,FALSE,NA,"625016489364451328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","justcalladi",1,FALSE,FALSE,NA,NA
"1281","Watched #BajrangiBhaijan ... and I can mark this movie way better and superb movie than #BahuBali ! Best bhaijan movie till date!",FALSE,0,NA,2015-07-25 18:51:09,FALSE,NA,"625015447520350209",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","suhit_kulkarni",0,FALSE,FALSE,NA,NA
"1282","Wonder if any Animal Rights dhimmis yet up in arms against #Bahubali ??",FALSE,3,NA,2015-07-25 18:49:27,FALSE,NA,"625015018875064320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SuryahSG",1,FALSE,FALSE,NA,NA
"1283","Anecdotal evidence and a regulated study of n=2 subjects suggests that #Bahubali got $46 more than #BajrangiBhaijaan :)",FALSE,0,NA,2015-07-25 18:48:22,FALSE,NA,"625014748132843520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_gopiy",0,FALSE,FALSE,NA,NA
"1284","Suggest the sequel be called 'Katappa' #bahubalikokyumaara #Bahubali",FALSE,2,NA,2015-07-25 18:47:44,FALSE,NA,"625014585557266432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haritbmehta",5,FALSE,FALSE,NA,NA
"1285","Getting lessons #Telugu
For #Bahubali prabhas.. http://t.co/wn1Wg3FUQo",FALSE,1,NA,2015-07-25 18:47:14,FALSE,NA,"625014460130832384",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","rushibankar007",3,FALSE,FALSE,NA,NA
"1286","@VMakadiya: #Bahubali Prabhas Raju today met with Nation's ""Bahubali"" @HMOIndia http://t.co/rccx3Uxzxj",FALSE,1,"VMakadiya",2015-07-25 18:36:19,FALSE,NA,"625011714082381824","2404931933","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","VMakadiya",0,FALSE,FALSE,NA,NA
