"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1229","#WhydidKatappaKillBahubali should be trending on Twitter. SURPRISED noone is talking about it. #Bahubalistorm #Bahubali",FALSE,0,NA,2015-07-19 11:25:58,FALSE,NA,"622729087879004160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I_am_Vedvrat",1,FALSE,FALSE,NA,NA
"1230","@GabbbarSingh #Bahubali certainly had",FALSE,0,"GabbbarSingh",2015-07-19 11:25:41,FALSE,"622654930801815552","622729016613564417","108391251","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imerahul",0,FALSE,FALSE,NA,NA
"1231","He is crying because a midget like him can never play Prabhas role and #bahubali broke all his previous fake records https://t.co/eAELBDSW0D",FALSE,17,NA,2015-07-19 11:25:21,FALSE,NA,"622728930311606272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ExSecular",14,FALSE,FALSE,NA,NA
"1232","Show time half group #maari and others half #bahubali #havefun http://t.co/hCCoJND3Gk",FALSE,0,NA,2015-07-19 11:24:48,FALSE,NA,"622728790523797504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arenaally",0,FALSE,FALSE,NA,NA
"1233","Just saw #Bahubali poster n said waaah .what a movie i came across last weekend. I could feel the royalty again.",FALSE,0,NA,2015-07-19 11:23:54,FALSE,NA,"622728565553938432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nidhi_hasija",0,FALSE,FALSE,NA,NA
"1234","Interesting Facts about #Bahubali: From Marriage Postponed to Inventing a New Language http://t.co/BYILHo1ESh #Bahubalistorm  @ssrajamouli",FALSE,1,NA,2015-07-19 11:21:55,FALSE,NA,"622728065995534337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MFMONITOR",1,FALSE,FALSE,NA,NA
"1235","is #Bahubali released in Pakistan ?",FALSE,2,NA,2015-07-19 11:21:43,FALSE,NA,"622728015579975680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Purple_Truth",3,FALSE,FALSE,NA,NA
"1236","#Bahubali #Superstar #IllayaThalapathy version!
If u agree #Retweet http://t.co/SOuWIL1l1p",FALSE,100,NA,2015-07-19 11:19:54,FALSE,NA,"622727559260667904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Troll_Cinemas",116,FALSE,FALSE,NA,NA
"1237","i sincerely feel #bahubali shud have been cut down to 3hrs, and made a single movie rather than a 2 part.",FALSE,0,NA,2015-07-19 11:19:35,FALSE,NA,"622727478751137793",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","luvashwin",0,FALSE,FALSE,NA,NA
"1238","Those sniffing out subtextual meanings/messages in #Bahubali remind me of this graffiti, commonly seen till 1970s: http://t.co/byjRHLpAEU",FALSE,23,NA,2015-07-19 11:18:50,FALSE,NA,"622727290548436993",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KanchanGupta",31,FALSE,FALSE,NA,NA
"1239","The Emblem of Mahizhmathi ... #Bahubali #Bahubalistorm #bahubali #Baahubali #BaahubaliStorm - Thank You @ssrajamouli http://t.co/fmZcPNIlUy",FALSE,1,NA,2015-07-19 11:18:23,FALSE,NA,"622727176299790336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","parwandra",1,FALSE,FALSE,NA,NA
"1240","More n more @ssrajamouli @RanaDaggubati #Bahubali http://t.co/U8dFczDwEF",FALSE,3,NA,2015-07-19 11:17:01,FALSE,NA,"622726832564015105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thoughtmakerme",2,FALSE,FALSE,NA,NA
"1241","@ssrajamouli #Bahubali is the great movie. I request you to re-make #Mahabharat #hindi version, I would like to see when you make it.",FALSE,1,"ssrajamouli",2015-07-19 11:15:27,FALSE,NA,"622726438957912064","136479128","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mdumreth",0,FALSE,FALSE,NA,NA
"1242","what fascinate me about #bahubali is nt the vfx or the budget, bt the way @ssrajamouli has conceived and visualized it in his mind...",FALSE,0,NA,2015-07-19 11:15:18,FALSE,NA,"622726403126071296",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","luvashwin",0,FALSE,FALSE,NA,NA
"1243","Ausum week.Barely gt ovr stunng #Bahubali wen #SanjayBhansali showd me #BajiraoMastani teasr.Muv ovr Mughal e Azam
http://t.co/TwZlBi1mMs",FALSE,0,NA,2015-07-19 11:14:41,FALSE,NA,"622726244379967488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","editorbharathi",0,FALSE,FALSE,NA,NA
"1244","extremly superbb today #Bahubali is almost full theaters in #Vadodara on 2nd week n #BajrangiBhaijaan tickets easily available on 1st sunday",FALSE,1,NA,2015-07-19 11:14:33,FALSE,NA,"622726212759085057",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WriterPrashant",0,FALSE,FALSE,NA,NA
"1245","It seems #bahubali shooting was done in akshardham mandir in Delhi . ‚ò∫ #watchingBahubali",FALSE,2,NA,2015-07-19 11:14:18,FALSE,NA,"622726149307654145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Payal091",1,FALSE,FALSE,NA,NA
"1246","Like almost every other film maker, SS Rajamouli too degrades woman character in his epic movie #Bahubali... http://t.co/ahAxyBd8Bo",FALSE,0,NA,2015-07-19 11:13:55,FALSE,NA,"622726054440910848",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Vnilesh89",0,FALSE,FALSE,NA,NA
"1247","Yaar film has made over 300 Crores in 9 days, loved by all, 1 critic didn't like it, big deal. Ignore karo. #Bahubali",FALSE,24,NA,2015-07-19 11:13:26,FALSE,NA,"622725929916215296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GappistanRadio",34,FALSE,FALSE,NA,NA
"1248","@suparna99 Best Indian movie till date is #Bahubali showing the real pride n honour of India instead of fake humanitarianism #Bahubalistorm",FALSE,0,"suparna99",2015-07-19 11:12:57,FALSE,"622724807323353088","622725812224065536","367297159","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DEVKANTDWIVEDI",1,FALSE,FALSE,NA,NA
"1249","Watched #Bahubali still amazed...Ì†ΩÌ∏≥Ì†ΩÌ∏≥Ì†ΩÌ∏≥Ì†ΩÌ∏≥ awesome movie just loved it... Hats off sir @ssrajamouli",FALSE,1,NA,2015-07-19 11:12:01,FALSE,NA,"622725576730607621",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","madhwaniswati",0,FALSE,FALSE,NA,NA
"1250","Dubbed Hindi version can easily be double digits from ~4 cr on day one for #Bahubali 1.",FALSE,0,"thisisrmb",2015-07-19 11:11:58,FALSE,"622724128890490880","622725563904475136","108344291","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","thisisrmb",0,FALSE,FALSE,NA,NA
